"","Sample","strain","replication","substrate","concentration","hour","values","substrate_groups","temperature"
"25682","574/24","G321/23","1","Cetylpyridinium chloride",1,96,0.329,"membrane function compounds","30"
"25683","575/24","G321/23","2","Cetylpyridinium chloride",1,96,0.135,"membrane function compounds","30"
"25684","604/24","G323/23","1","Cetylpyridinium chloride",1,96,1.168,"membrane function compounds","30"
"25685","575/24","G321/23","2","Cetylpyridinium chloride",1,72,0.148,"membrane function compounds","30"
"25686","589/24","G322/23","1","Cetylpyridinium chloride",1,48,1.017,"membrane function compounds","30"
"25687","576/24","G321/23","3","Cetylpyridinium chloride",1,48,0.284,"membrane function compounds","30"
"25688","591/24","G322/23","3","Cetylpyridinium chloride",1,72,1.512,"membrane function compounds","30"
"25689","606/24","G323/23","3","Cetylpyridinium chloride",1,72,0.589,"membrane function compounds","30"
"25690","604/24","G323/23","1","Cetylpyridinium chloride",1,48,0.148,"membrane function compounds","30"
"25691","604/24","G323/23","1","Cetylpyridinium chloride",1,24,0.124,"membrane function compounds","30"
"25692","606/24","G323/23","3","Cetylpyridinium chloride",1,24,0.464,"membrane function compounds","30"
"25693","606/24","G323/23","3","Cetylpyridinium chloride",1,48,0.499,"membrane function compounds","30"
"25694","606/24","G323/23","3","Cetylpyridinium chloride",1,96,1.125,"membrane function compounds","30"
"25695","590/24","G322/23","2","Cetylpyridinium chloride",1,72,1.48,"membrane function compounds","30"
"25696","605/24","G323/23","2","Cetylpyridinium chloride",1,48,0.372,"membrane function compounds","30"
"25697","590/24","G322/23","2","Cetylpyridinium chloride",1,24,0.131,"membrane function compounds","30"
"25698","604/24","G323/23","1","Cetylpyridinium chloride",1,0,0.103,"membrane function compounds","30"
"25699","589/24","G322/23","1","Cetylpyridinium chloride",1,72,1.582,"membrane function compounds","30"
"25700","574/24","G321/23","1","Cetylpyridinium chloride",1,24,0.305,"membrane function compounds","30"
"25701","589/24","G322/23","1","Cetylpyridinium chloride",1,96,1.566,"membrane function compounds","30"
"25702","576/24","G321/23","3","Cetylpyridinium chloride",1,96,0.309,"membrane function compounds","30"
"25703","591/24","G322/23","3","Cetylpyridinium chloride",1,48,0.959,"membrane function compounds","30"
"25704","574/24","G321/23","1","Cetylpyridinium chloride",1,0,0.125,"membrane function compounds","30"
"25705","590/24","G322/23","2","Cetylpyridinium chloride",1,96,1.572,"membrane function compounds","30"
"25706","605/24","G323/23","2","Cetylpyridinium chloride",1,0,0.111,"membrane function compounds","30"
"25707","589/24","G322/23","1","Cetylpyridinium chloride",1,0,0.103,"membrane function compounds","30"
"25708","591/24","G322/23","3","Cetylpyridinium chloride",1,96,1.47,"membrane function compounds","30"
"25709","575/24","G321/23","2","Cetylpyridinium chloride",1,48,0.145,"membrane function compounds","30"
"25710","605/24","G323/23","2","Cetylpyridinium chloride",1,96,1.474,"membrane function compounds","30"
"25711","574/24","G321/23","1","Cetylpyridinium chloride",1,48,0.306,"membrane function compounds","30"
"25712","605/24","G323/23","2","Cetylpyridinium chloride",1,24,0.3,"membrane function compounds","30"
"25713","574/24","G321/23","1","Cetylpyridinium chloride",1,72,0.329,"membrane function compounds","30"
"25714","590/24","G322/23","2","Cetylpyridinium chloride",1,0,0.095,"membrane function compounds","30"
"25715","594/24","G322/23","3","3-Amino-1,2,4-triazole",1,72,0.218,"nitrogen compounds","30"
"25716","578/24","G321/23","2","3-Amino-1,2,4-triazole",1,48,0.136,"nitrogen compounds","30"
"25717","577/24","G321/23","1","3-Amino-1,2,4-triazole",1,72,0.226,"nitrogen compounds","30"
"25718","579/24","G321/23","3","3-Amino-1,2,4-triazole",1,48,0.325,"nitrogen compounds","30"
"25719","577/24","G321/23","1","3-Amino-1,2,4-triazole",1,96,0.201,"nitrogen compounds","30"
"25720","608/24","G323/23","2","3-Amino-1,2,4-triazole",1,96,0.113,"nitrogen compounds","30"
"25721","579/24","G321/23","3","3-Amino-1,2,4-triazole",1,0,0.105,"nitrogen compounds","30"
"25722","592/24","G322/23","1","3-Amino-1,2,4-triazole",1,0,0.114,"nitrogen compounds","30"
"25723","592/24","G322/23","1","3-Amino-1,2,4-triazole",1,48,0.396,"nitrogen compounds","30"
"25724","577/24","G321/23","1","3-Amino-1,2,4-triazole",1,24,0.193,"nitrogen compounds","30"
