"","Sample","strain","replication","substrate","concentration","hour","values","substrate_groups","temperature"
"25920","606/24","G323/23","3","Cetylpyridinium chloride",2,48,0.186,"membrane function compounds","30"
"25921","606/24","G323/23","3","Cetylpyridinium chloride",2,72,0.272,"membrane function compounds","30"
"25922","590/24","G322/23","2","Cetylpyridinium chloride",2,96,1.645,"membrane function compounds","30"
"25923","604/24","G323/23","1","Cetylpyridinium chloride",2,48,0.268,"membrane function compounds","30"
"25924","575/24","G321/23","2","Cetylpyridinium chloride",2,0,0.097,"membrane function compounds","30"
"25925","574/24","G321/23","1","Cetylpyridinium chloride",2,48,0.135,"membrane function compounds","30"
"25926","606/24","G323/23","3","Cetylpyridinium chloride",2,0,0.113,"membrane function compounds","30"
"25927","606/24","G323/23","3","Cetylpyridinium chloride",2,24,0.183,"membrane function compounds","30"
"25928","589/24","G322/23","1","Cetylpyridinium chloride",2,48,0.898,"membrane function compounds","30"
"25929","574/24","G321/23","1","Cetylpyridinium chloride",2,0,0.107,"membrane function compounds","30"
"25930","591/24","G322/23","3","Cetylpyridinium chloride",2,72,1.557,"membrane function compounds","30"
"25931","576/24","G321/23","3","Cetylpyridinium chloride",2,0,0.099,"membrane function compounds","30"
"25932","606/24","G323/23","3","Cetylpyridinium chloride",2,96,0.273,"membrane function compounds","30"
"25933","574/24","G321/23","1","Cetylpyridinium chloride",2,96,0.147,"membrane function compounds","30"
"25934","605/24","G323/23","2","Cetylpyridinium chloride",2,24,0.185,"membrane function compounds","30"
"25935","591/24","G322/23","3","Cetylpyridinium chloride",2,48,0.971,"membrane function compounds","30"
"25936","591/24","G322/23","3","Cetylpyridinium chloride",2,96,1.488,"membrane function compounds","30"
"25937","574/24","G321/23","1","Cetylpyridinium chloride",2,24,0.146,"membrane function compounds","30"
"25938","589/24","G322/23","1","Cetylpyridinium chloride",2,0,0.098,"membrane function compounds","30"
"25939","605/24","G323/23","2","Cetylpyridinium chloride",2,48,0.213,"membrane function compounds","30"
"25940","590/24","G322/23","2","Cetylpyridinium chloride",2,24,0.283,"membrane function compounds","30"
"25941","590/24","G322/23","2","Cetylpyridinium chloride",2,72,1.538,"membrane function compounds","30"
